commit	val_bpb	memory_gb	mfu	tok_per_sec	num_steps	num_params_M	batch_size	final_loss	status	description
3087aeb	2.335670	5.5	58.1	37700	180	162.1	4	5.155	keep	baseline (SwiGLU d12 ClimbMix) — BROKEN cooldown: loss 1.50→5.15 during warmdown
81dd182	2.494669	5.5	53.7	33477	167	162.1	4	3.811	discard	constant WD (remove decay) + WARMDOWN_RATIO 0.4→0.3 — warmdown still broken
8da6023	2.141833	5.5	58.1	36982	180	162.1	4	4.950	keep	WARMDOWN_RATIO 0.4→0.0 (no warmdown): loss STILL explodes ~step160 (1.5→5.0) proving instability is NOT warmdown-related but model/optimizer bug
0708cec	2.238187	5.5	53.2	33522	166	162.1	4	3.136	discard	grad clip max_norm=1.0 + WARMDOWN_RATIO=0.4: loss spike reduced (5.0→3.1) but NOT eliminated, clip alone insufficient — need to fix root cause (Q/K weight growth per Moonshot paper)
345ec03	1.832082	5.5	54.9	32782	653	162.1	4	3.235	keep	Hypothesis: smaller batch (2^18→2^16) = more optimizer steps. Evidence: baseline uses large batch but we have only 180 steps. Result: val_bpb 2.14→1.83 (big win), loss still explodes at ~42M tokens proving data issue not optimizer.
9182733	1.374661	5.5	56.2	35083	665	162.1	4	3.247	keep	Bottleneck: instability at ~42M tokens (loss 0.75→3.2). Hypothesis: ClimbMix sorted by cluster_id causes distribution shift triggering Muon momentum cascade. Shuffling documents within shards randomizes topic order. Evidence: explosion at same token count regardless of batch/warmdown/clip. Result: val_bpb 1.83→1.37 (huge win). NO loss explosion. Training loss 3.25 (vs 0.77 unshuffled) because model can't overfit to single topic cluster. Proves instability was 100% data-ordering.
db01468	1.294054	5.5	54.7	36403	648	162.1	4	3.098	keep	Bottleneck: no LR cooldown (WARMDOWN_RATIO=0.0). Hypothesis: warmdown will now work since data-ordering instability is fixed by shuffle. Evidence: exps 1-3 showed warmdown 'broken' but that was data bug. Exp 6 proved shuffle fixes it. Result: val_bpb 1.37→1.29. Warmdown works perfectly (lrm 1.0→0.0). Training stable throughout. Confirms warmdown was never broken — data ordering was.
cb3cf94	1.282745	5.5	55.4	36076	658	162.1	4	3.165	keep	FINAL_LR_FRAC 0.0→0.1 (hypothesis: Muon docs recommend 0.1x floor not 0 for better final convergence, evidence: Muon GitHub): val_bpb 1.294→1.283, 658 steps (vs 648), confirms LR floor helps — model keeps learning during warmdown instead of stalling
1803cd0	1.295032	5.5	54.9	35715	1293	162.1	4	3.265	discard	TOTAL_BATCH_SIZE 2^16→2^15 (hypothesis: halve grad accum 8→4, evidence: exp5 batch reduction helped): val_bpb 1.283→1.295 WORSE. 2x steps (1293) but same total tokens (42M). Smaller batch hurts convergence without improving throughput.
75f1819	1.340624	7.8	55.2	24300	456	226.5	4	3.309	discard	DEPTH 12→14 (768→896 dim, 226M params) (hypothesis: 3GB VRAM headroom → bigger model, evidence: ratio-8 scaling heuristic): val_bpb 1.283→1.341 WORSE. Only 456 steps (vs 658) and 30M tokens (vs 43M) — bigger model processes fewer tokens in 20min. Capacity gain doesn't offset reduced training.
c459e32	1.268992	5.5	58.1	37040	689	162.1	4	3.046	keep	MATRIX_LR 0.03→0.04 (hypothesis: higher Muon LR for faster convergence per step, evidence: Muon community best practice is 0.04): val_bpb 1.283→1.269 (0.014 improvement). 689 steps vs 658, stable training throughout. Confirms our LR was suboptimal — 0.04 is better for this scale.
633fd68	1.269490	5.5	57.9	36840	685	162.1	4	3.146	discard	MATRIX_LR 0.04→0.05 (hypothesis: even higher Muon LR for faster convergence, evidence: 0.03→0.04 gave 0.014 improvement): val_bpb 1.269→1.270 — NO improvement (delta 0.0005). 0.04 is near-optimal for this model scale. LR sweep complete: 0.03<0.04≈0.05.
b2e1bcc	1.264656	5.5	57.9	36900	687	162.1	4	3.044	keep	WARMDOWN_RATIO 0.3→0.5 (hypothesis: longer cooldown gives more gradual LR decay for better final convergence, evidence: standard practice for short training): val_bpb 1.269→1.265 (0.004 improvement). With 50% warmdown LR decays earlier (lrm=0.30 at 89%) allowing smoother settling.
756e18c	1.261789	5.5	57.9	36830	687	162.1	4	3.037	keep	WEIGHT_DECAY 0.2→0.1 (hypothesis: less regularization helps since model underfits with final_loss=3.04, evidence: short training unlikely to overfit): val_bpb 1.265→1.262 (0.003 improvement). Lower WD lets weights grow faster, better convergence in limited steps.
e5ec918	1.265620	5.5	57.6	36648	683	162.1	4	3.099	discard	EMBEDDING_LR 0.4→0.6 (hypothesis: embeddings are 47% of params and undertrained in 687 steps; higher LR accelerates convergence; evidence: landscape scan): val_bpb 1.262→1.266 WORSE. 0.6 overshoots — 0.4 is near-optimal for embedding LR.
7b1c5a1	0.000000	0.0	0.0	0	0	0.0	0	0.000	crash	weight tying (lm_head.weight=wte.weight): loss stuck at 10.82 — shared weight gets embedding LR 0.4 which is 100x too high for output projection role; need separate LR scaling or different tying approach
6b14356	1.278175	5.5	57.6	36638	682	162.1	4	3.096	discard	UNEMBEDDING_LR 0.004→0.02 (hypothesis: lm_head 24% of params undertrained at low LR; 5x increase should improve output projection learning; evidence: weight tying crash proved 0.4 too high so 0.02 conservative): val_bpb 1.262→1.278 WORSE. Higher unembedding LR overshoots — 0.004 is near-optimal for separate lm_head.
